AIRLINE,MONTH,DAY_OF_WEEK,TAXI_OUT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
"Delta Air Lines Inc.",1,3,12,-3,1124,-8
"Hawaiian Airlines Inc.",2,4,15,-1,2640,1
"American Airlines Inc.",11,3,8,-5,733,-26
"Southwest Airlines Co.",12,2,11,-4,1048,-15
"Southwest Airlines Co.",11,3,15,-4,591,-9
"Atlantic Southeast Airlines",1,6,26,-1,335,-14
"Southwest Airlines Co.",8,1,10,-3,691,-28
"Alaska Airlines Inc.",3,2,7,10,1448,-10
"Atlantic Southeast Airlines",10,1,8,-5,127,-11
"American Airlines Inc.",4,1,12,-5,1389,-34
"Southwest Airlines Co.",8,5,18,76,391,88
"Delta Air Lines Inc.",10,5,9,-1,712,-17
"Southwest Airlines Co.",8,3,15,2,370,6
"Skywest Airlines Inc.",5,7,11,-8,781,2
"Southwest Airlines Co.",4,6,17,161,668,152
"Skywest Airlines Inc.",4,4,18,-3,843,-8
"Southwest Airlines Co.",2,4,9,-3,407,-12
"Southwest Airlines Co.",9,2,8,-5,495,-11
"United Air Lines Inc.",12,4,16,-1,862,-36
"American Airlines Inc.",8,7,14,-2,1205,-8
"Skywest Airlines Inc.",8,3,13,17,566,21
"Southwest Airlines Co.",9,1,7,11,472,4
"Delta Air Lines Inc.",9,1,16,0,1282,-20
"American Eagle Airlines Inc.",7,5,26,-8,312,-7
"Frontier Airlines Inc.",2,3,15,18,1062,22
"American Airlines Inc.",12,1,7,85,551,68
"Delta Air Lines Inc.",8,3,21,0,626,6
"Delta Air Lines Inc.",9,5,15,-2,297,-5
"Skywest Airlines Inc.",5,1,17,-12,451,-13
"Virgin America",8,5,10,7,1846,-8
"Delta Air Lines Inc.",7,4,18,-1,1919,-3
"Southwest Airlines Co.",4,4,13,-2,1105,-20
"United Air Lines Inc.",9,5,20,6,955,-3
"American Airlines Inc.",4,5,18,166,1217,144
"Southwest Airlines Co.",7,5,10,-7,1218,-11
"Southwest Airlines Co.",8,1,14,-4,651,-4
"Southwest Airlines Co.",4,3,11,-5,889,-13
"American Airlines Inc.",5,1,18,-2,1192,-18
"Delta Air Lines Inc.",7,6,10,-3,1175,-4
"Skywest Airlines Inc.",8,2,18,-4,550,-13
"Southwest Airlines Co.",1,3,8,0,148,2
"Southwest Airlines Co.",6,3,9,1,591,-6
"Delta Air Lines Inc.",12,4,11,52,201,37
"Southwest Airlines Co.",9,3,9,-5,373,-9
"American Airlines Inc.",9,3,17,-4,1460,-8
"Atlantic Southeast Airlines",10,5,25,-2,282,-2
"Atlantic Southeast Airlines",1,3,9,-6,163,-14
"US Airways Inc.",1,1,24,4,728,16
"Southwest Airlines Co.",1,1,9,-8,484,-13
"American Eagle Airlines Inc.",8,2,9,-3,557,-19
"American Airlines Inc.",9,4,16,-2,802,-15
"Spirit Air Lines",4,1,15,-6,403,-13
"Delta Air Lines Inc.",1,1,14,-2,936,-10
"Atlantic Southeast Airlines",10,2,14,-3,408,-10
"Atlantic Southeast Airlines",8,5,11,-17,277,-28
"American Airlines Inc.",12,1,21,-2,2486,-15
"Alaska Airlines Inc.",2,3,18,-1,1448,6
"Alaska Airlines Inc.",1,4,13,-5,1399,-14
"United Air Lines Inc.",11,6,14,5,414,-2
"Skywest Airlines Inc.",12,3,71,-13,188,25
"Southwest Airlines Co.",5,3,9,-1,189,-7
"American Eagle Airlines Inc.",11,5,23,-8,139,-8
"Frontier Airlines Inc.",7,1,11,-4,991,-7
"Alaska Airlines Inc.",1,5,41,-3,2402,29
"American Airlines Inc.",7,4,28,-5,944,-30
"Southwest Airlines Co.",11,3,12,-4,1624,-16
"Delta Air Lines Inc.",8,6,12,-1,442,-6
"Southwest Airlines Co.",11,3,15,-2,356,-8
"Virgin America",7,6,11,-3,1476,-7
"Atlantic Southeast Airlines",9,1,9,18,500,0
"American Airlines Inc.",7,4,16,-7,930,-22
"Atlantic Southeast Airlines",3,5,15,-10,576,-3
"Skywest Airlines Inc.",1,2,11,23,784,25
"Delta Air Lines Inc.",3,1,21,0,1416,19
"JetBlue Airways",9,3,20,14,1076,17
"Atlantic Southeast Airlines",10,5,16,-6,569,1
"Delta Air Lines Inc.",7,1,17,15,946,0
"US Airways Inc.",6,4,43,38,2075,56
"Delta Air Lines Inc.",8,3,8,-5,748,-15
"American Airlines Inc.",7,5,14,3,1089,-1
"Delta Air Lines Inc.",6,4,28,38,2454,24
"JetBlue Airways",10,6,15,-10,1056,-10
"Delta Air Lines Inc.",3,6,13,-2,341,-8
"American Airlines Inc.",9,5,15,22,802,13
"Southwest Airlines Co.",6,3,10,-4,197,-10
"Hawaiian Airlines Inc.",9,6,8,5,121,8
"Southwest Airlines Co.",6,7,6,-2,251,1
"Southwest Airlines Co.",5,1,14,1,283,-9
"Delta Air Lines Inc.",3,5,23,19,406,20
"United Air Lines Inc.",7,1,54,127,337,139
"Atlantic Southeast Airlines",9,5,49,-6,201,45
"Southwest Airlines Co.",10,7,7,-3,1142,-25
"Spirit Air Lines",3,1,12,-4,1744,-31
"Skywest Airlines Inc.",9,4,25,-7,89,5
"Southwest Airlines Co.",6,7,10,-2,446,-2
"Hawaiian Airlines Inc.",12,7,10,1,163,-4
"Atlantic Southeast Airlines",10,2,9,-6,170,-8
"American Airlines Inc.",3,5,17,53,204,49
"American Airlines Inc.",10,4,18,-3,946,-5
"Spirit Air Lines",7,7,8,0,236,-6
"United Air Lines Inc.",6,5,18,-3,2419,-19
"Atlantic Southeast Airlines",6,1,14,71,542,72
"US Airways Inc.",4,4,12,-8,759,-12
"American Eagle Airlines Inc.",9,7,10,-1,158,-10
"Delta Air Lines Inc.",10,6,13,-2,235,-2
"American Airlines Inc.",11,4,17,22,936,9
"Spirit Air Lines",10,4,24,-1,563,-2
"Atlantic Southeast Airlines",3,4,16,-9,462,-15
"Atlantic Southeast Airlines",12,4,19,-3,151,10
"Southwest Airlines Co.",10,5,8,9,986,-8
"Delta Air Lines Inc.",6,4,24,31,432,28
"Frontier Airlines Inc.",2,1,19,-8,967,-5
"Skywest Airlines Inc.",7,2,13,-12,525,-12
"Delta Air Lines Inc.",11,1,13,-6,590,-13
"Southwest Airlines Co.",7,6,11,-2,1444,-11
"JetBlue Airways",10,2,13,-2,1179,-9
"Skywest Airlines Inc.",4,1,19,-8,794,-8
"Southwest Airlines Co.",2,5,10,14,1984,11
"Southwest Airlines Co.",5,3,13,-2,967,-15
"Skywest Airlines Inc.",3,7,13,-9,387,-11
"American Eagle Airlines Inc.",9,5,30,16,235,23
"Delta Air Lines Inc.",9,4,13,3,321,-7
"Alaska Airlines Inc.",4,3,16,-10,672,-8
"US Airways Inc.",4,7,9,0,529,-10
"American Airlines Inc.",11,3,17,-6,551,-10
"Skywest Airlines Inc.",10,4,23,-3,546,5
"Atlantic Southeast Airlines",1,6,42,-4,529,15
"Delta Air Lines Inc.",2,3,9,12,1084,4
"American Airlines Inc.",10,7,14,-1,599,-18
"United Air Lines Inc.",1,3,18,13,1739,2
"Skywest Airlines Inc.",5,3,21,-3,596,-2
"American Airlines Inc.",7,7,8,-3,731,-24
"Southwest Airlines Co.",7,1,24,-5,397,-23
"Delta Air Lines Inc.",2,2,12,13,590,1
"Delta Air Lines Inc.",8,1,12,-4,500,-30
"Southwest Airlines Co.",2,2,10,-1,1428,-13
"American Eagle Airlines Inc.",11,7,6,-6,113,-14
"Southwest Airlines Co.",11,7,11,-3,762,-18
"Atlantic Southeast Airlines",10,7,28,-5,585,-1
"US Airways Inc.",6,5,15,-4,599,-16
"JetBlue Airways",1,2,16,-14,728,-21
"Southwest Airlines Co.",1,4,11,-7,397,-17
"American Eagle Airlines Inc.",11,7,19,-6,351,-15
"Delta Air Lines Inc.",7,3,16,11,1199,1
"United Air Lines Inc.",7,5,16,31,888,24
"Atlantic Southeast Airlines",12,2,9,240,482,234
"US Airways Inc.",3,3,28,8,2521,-7
"Southwest Airlines Co.",8,5,13,1,236,-6
"US Airways Inc.",5,7,20,-3,546,-3
"American Eagle Airlines Inc.",6,1,23,-1,522,-7
"Southwest Airlines Co.",6,7,30,-4,907,-4
"American Airlines Inc.",8,2,26,-3,2176,-13
"United Air Lines Inc.",10,7,22,30,1635,8
"American Airlines Inc.",9,2,19,21,192,15
"Southwest Airlines Co.",1,1,7,74,825,124
"American Airlines Inc.",12,5,28,-1,541,-7
"Southwest Airlines Co.",5,7,15,-4,328,-5
"Southwest Airlines Co.",6,3,6,29,337,17
"American Airlines Inc.",9,6,29,-3,2075,-19
"Atlantic Southeast Airlines",12,5,20,55,258,45
"United Air Lines Inc.",2,4,14,-6,1452,-5
"Delta Air Lines Inc.",5,2,19,195,304,190
"United Air Lines Inc.",3,1,17,-5,2446,-22
"Southwest Airlines Co.",11,6,10,12,159,2
"Delta Air Lines Inc.",12,3,16,45,765,29
"JetBlue Airways",8,4,17,-3,387,3
"Southwest Airlines Co.",4,2,14,-2,793,1
"Delta Air Lines Inc.",7,2,21,-5,1035,-28
"American Eagle Airlines Inc.",6,4,15,-8,237,-11
"Skywest Airlines Inc.",12,5,10,-6,624,-15
"American Airlines Inc.",8,2,24,2,1562,-7
"Southwest Airlines Co.",12,3,12,-3,849,-16
"Skywest Airlines Inc.",12,3,10,-2,867,-27
"Southwest Airlines Co.",9,3,6,20,895,5
"Skywest Airlines Inc.",11,5,24,-8,1464,-19
"Southwest Airlines Co.",3,6,18,-4,1947,-25
"Atlantic Southeast Airlines",8,4,12,-9,694,-25
"American Eagle Airlines Inc.",12,2,17,-8,968,-1
"Southwest Airlines Co.",5,6,9,-4,390,-7
"Delta Air Lines Inc.",1,2,11,2,1074,4
"Delta Air Lines Inc.",5,2,9,-2,528,-11
"Skywest Airlines Inc.",6,2,24,-3,262,-5
"American Airlines Inc.",10,4,45,1,583,21
"Southwest Airlines Co.",3,5,8,-4,1072,-9
"United Air Lines Inc.",11,3,29,-1,1005,8
"American Airlines Inc.",2,1,8,-1,2158,-5
"Southwest Airlines Co.",11,5,11,-4,793,-16
"Southwest Airlines Co.",6,1,7,-3,605,-7
"Skywest Airlines Inc.",12,1,24,-4,844,-7
"United Air Lines Inc.",4,4,12,-2,602,-5
"Southwest Airlines Co.",8,5,11,-2,358,-5
"American Eagle Airlines Inc.",3,2,15,-2,408,-18
"Delta Air Lines Inc.",9,4,22,-2,1900,-8
"JetBlue Airways",3,4,26,-6,369,6
"Southwest Airlines Co.",11,2,8,12,602,-1
"Southwest Airlines Co.",5,7,5,-5,601,-28
"Southwest Airlines Co.",10,5,15,0,1491,-16
"Skywest Airlines Inc.",8,2,6,-5,67,-10
"American Airlines Inc.",3,1,22,-5,641,-1
"Southwest Airlines Co.",2,3,8,1,1428,-15
"Frontier Airlines Inc.",3,6,12,-1,1062,5
"United Air Lines Inc.",5,5,13,3,862,0
"Delta Air Lines Inc.",8,6,18,-7,516,-6
"Southwest Airlines Co.",10,5,7,54,220,44
"Alaska Airlines Inc.",7,7,14,-10,550,-25
"American Airlines Inc.",2,1,16,45,986,47
"JetBlue Airways",8,6,19,39,2465,12
"Southwest Airlines Co.",12,3,10,4,368,3
"American Airlines Inc.",2,6,30,-6,236,3
"United Air Lines Inc.",12,5,20,-8,2565,-13
"American Airlines Inc.",4,3,20,15,1726,3
"Southwest Airlines Co.",9,3,16,-3,777,-8
"Atlantic Southeast Airlines",1,7,12,63,391,54
"Skywest Airlines Inc.",10,2,16,-1,425,-7
"Delta Air Lines Inc.",3,7,19,-5,1640,-10
"American Airlines Inc.",8,7,11,-4,1464,-19
"American Eagle Airlines Inc.",7,2,27,28,489,31
"Skywest Airlines Inc.",3,3,24,35,370,41
"Virgin America",6,6,10,103,2586,82
"Southwest Airlines Co.",12,2,10,16,986,2
"American Airlines Inc.",11,3,21,-2,1089,2
"Delta Air Lines Inc.",1,4,30,-6,1010,-23
"Hawaiian Airlines Inc.",1,5,6,-6,102,-6
"American Airlines Inc.",12,6,16,-2,2072,4
"Skywest Airlines Inc.",2,3,25,-1,209,5
"Delta Air Lines Inc.",1,4,18,-6,545,0
"Delta Air Lines Inc.",3,2,24,14,1590,35
"Virgin America",6,6,11,-4,447,-8
"Southwest Airlines Co.",5,5,11,-7,892,-10
"Skywest Airlines Inc.",3,6,13,-6,493,7
"Atlantic Southeast Airlines",4,2,11,45,190,43
"Southwest Airlines Co.",6,4,6,13,802,3
"Atlantic Southeast Airlines",3,3,33,-2,83,13
"Skywest Airlines Inc.",4,5,21,3,236,1
"Southwest Airlines Co.",11,3,20,290,480,295
"Alaska Airlines Inc.",7,6,19,-5,978,-8
"Delta Air Lines Inc.",3,6,10,-4,444,-8
"US Airways Inc.",4,5,17,-1,2917,-10
"United Air Lines Inc.",10,2,15,-3,1723,-27
"Delta Air Lines Inc.",5,4,16,-1,591,-13
"US Airways Inc.",4,4,11,-6,759,-9
"Skywest Airlines Inc.",7,6,17,-4,1058,-17
"Skywest Airlines Inc.",3,4,19,-7,119,0
"Skywest Airlines Inc.",8,6,11,-8,228,-16
"Atlantic Southeast Airlines",6,7,10,-10,642,-2
"Atlantic Southeast Airlines",7,3,13,-5,1134,-17
"United Air Lines Inc.",9,3,20,4,612,-3
"Skywest Airlines Inc.",10,4,14,-9,421,-19
"American Airlines Inc.",4,4,17,2,1107,-2
"Southwest Airlines Co.",6,1,11,-4,187,-4
"American Airlines Inc.",3,1,11,-4,1182,-22
"United Air Lines Inc.",9,2,80,37,612,87
"American Airlines Inc.",7,6,12,16,1440,-2
"US Airways Inc.",1,6,13,-1,1916,8
"Southwest Airlines Co.",4,3,12,-1,446,-9
"Southwest Airlines Co.",3,5,12,19,1076,12
"United Air Lines Inc.",8,3,10,-6,334,-22
"Skywest Airlines Inc.",11,7,9,-3,1119,-39
"Atlantic Southeast Airlines",6,4,8,-8,374,-25
"JetBlue Airways",8,4,16,0,474,-8
"Southwest Airlines Co.",4,5,14,24,1142,22
"Delta Air Lines Inc.",9,4,13,-4,453,-11
"Hawaiian Airlines Inc.",3,1,10,4,100,3
"American Eagle Airlines Inc.",3,7,13,16,462,34
"American Eagle Airlines Inc.",3,5,9,14,462,-2
"Delta Air Lines Inc.",1,7,18,-6,271,-4
"Spirit Air Lines",10,6,9,-5,1062,-12
"American Airlines Inc.",12,4,14,4,1562,-24
"United Air Lines Inc.",7,4,17,-5,997,-5
"Skywest Airlines Inc.",2,3,18,76,483,73
"Southwest Airlines Co.",6,3,15,34,972,28
"Southwest Airlines Co.",8,4,7,3,302,-2
"JetBlue Airways",4,6,16,-9,399,-9
"Skywest Airlines Inc.",11,6,18,-6,199,-14
"Southwest Airlines Co.",11,6,7,56,440,46
"Delta Air Lines Inc.",5,7,22,17,1481,11
"JetBlue Airways",6,4,61,-4,1076,43
"Delta Air Lines Inc.",12,4,20,-2,2611,10
"JetBlue Airways",12,2,37,-2,1204,22
"American Airlines Inc.",8,3,17,-4,1372,-10
"American Eagle Airlines Inc.",3,1,9,70,408,60
"Delta Air Lines Inc.",2,3,8,-3,712,-32
"American Eagle Airlines Inc.",12,2,20,-4,196,-18
"Skywest Airlines Inc.",3,1,20,-10,199,-9
"JetBlue Airways",12,2,19,2,989,-2
"Southwest Airlines Co.",4,1,8,-3,255,-23
"Atlantic Southeast Airlines",10,4,24,8,780,5
"American Eagle Airlines Inc.",2,5,61,38,693,83
"JetBlue Airways",1,4,12,3,899,-12
"Southwest Airlines Co.",11,6,13,1,1947,-8
"Skywest Airlines Inc.",11,7,14,63,264,59
"Skywest Airlines Inc.",1,4,14,-4,86,-6
"Southwest Airlines Co.",7,7,14,24,1067,25
"Southwest Airlines Co.",5,7,7,75,1444,61
"American Airlines Inc.",11,1,12,0,130,-7
"Southwest Airlines Co.",3,1,6,-4,997,-19
"Skywest Airlines Inc.",8,7,33,-5,438,-7
"United Air Lines Inc.",11,7,11,-1,888,-16
"Skywest Airlines Inc.",9,7,16,-10,129,-16
"Spirit Air Lines",7,7,8,9,1021,-5
"Delta Air Lines Inc.",10,5,15,-7,481,-9
"Alaska Airlines Inc.",1,6,23,-9,82,-5
"Southwest Airlines Co.",1,5,11,-3,281,-9
"Southwest Airlines Co.",8,5,7,-5,591,-19
"Alaska Airlines Inc.",4,2,12,14,1448,26
"American Airlines Inc.",7,4,13,-5,399,-8
"Southwest Airlines Co.",8,3,6,-6,325,-9
"Southwest Airlines Co.",3,6,23,-1,369,8
"Skywest Airlines Inc.",2,7,16,31,501,42
"JetBlue Airways",2,5,14,-5,1121,4
"American Eagle Airlines Inc.",8,1,10,-1,113,-16
"Atlantic Southeast Airlines",5,6,12,-8,529,-22
"Alaska Airlines Inc.",9,5,14,-8,2149,-30
"American Airlines Inc.",3,4,17,0,631,0
"Southwest Airlines Co.",11,5,9,-6,668,-22
"Delta Air Lines Inc.",8,4,9,1,645,-15
"American Airlines Inc.",10,4,13,-7,1172,-38
"Delta Air Lines Inc.",2,2,14,5,270,-13
"Hawaiian Airlines Inc.",9,6,5,-15,100,-17
"Delta Air Lines Inc.",11,3,11,1,1547,-22
"US Airways Inc.",1,7,28,-2,370,7
"Southwest Airlines Co.",9,7,10,-4,386,-7
"Skywest Airlines Inc.",10,7,22,-6,488,-8
"American Airlines Inc.",8,1,8,-5,814,-20
"JetBlue Airways",6,1,13,62,1046,42
"Skywest Airlines Inc.",8,6,16,-12,224,-5
"Delta Air Lines Inc.",5,7,11,-5,453,-9
"Atlantic Southeast Airlines",8,3,16,-2,594,-7
"American Airlines Inc.",9,6,14,-10,1431,-28
"Delta Air Lines Inc.",8,2,12,12,259,-1
"Southwest Airlines Co.",7,3,7,-4,462,-11
"Southwest Airlines Co.",4,3,8,-5,1506,-22
"US Airways Inc.",4,4,12,-7,1587,-15
"American Airlines Inc.",6,5,10,-4,1120,-12
"Southwest Airlines Co.",2,5,8,-8,402,-23
"Southwest Airlines Co.",2,4,8,0,1211,-13
"Spirit Air Lines",7,5,13,3,1235,2
"Southwest Airlines Co.",2,6,24,-7,270,1
"Skywest Airlines Inc.",11,2,14,-9,272,-4
"Southwest Airlines Co.",9,2,12,-1,404,-10
"Hawaiian Airlines Inc.",12,7,9,1,100,3
"Virgin America",11,7,8,-3,2218,-10
"Spirit Air Lines",7,3,11,-12,563,-33
"Southwest Airlines Co.",7,6,11,1,189,1
"American Airlines Inc.",11,1,20,-8,861,-12
"American Airlines Inc.",8,1,16,-4,1205,-15
"Alaska Airlines Inc.",5,6,22,-1,672,6
"Atlantic Southeast Airlines",1,5,12,-1,458,6
"Skywest Airlines Inc.",3,2,19,-6,370,-10
"Delta Air Lines Inc.",12,3,27,13,134,19
"Skywest Airlines Inc.",8,4,14,2,143,8
"Skywest Airlines Inc.",9,3,21,-7,425,0
"United Air Lines Inc.",8,4,16,71,802,54
"Skywest Airlines Inc.",7,2,15,-5,545,-11
"US Airways Inc.",3,1,17,-8,683,-14
"Atlantic Southeast Airlines",10,4,54,-6,292,7
"Southwest Airlines Co.",4,4,6,5,325,-3
"United Air Lines Inc.",7,6,15,-3,2288,-22
"Southwest Airlines Co.",6,3,7,-5,1066,-17
"American Eagle Airlines Inc.",7,1,22,0,473,-13
"American Airlines Inc.",12,4,18,2,1055,-11
"Delta Air Lines Inc.",12,3,19,125,515,119
"Southwest Airlines Co.",10,4,7,130,949,109
"Skywest Airlines Inc.",12,2,12,-8,313,-22
"Delta Air Lines Inc.",2,2,10,-11,1175,-9
"Delta Air Lines Inc.",9,7,20,1,1517,0
"Atlantic Southeast Airlines",3,6,14,-8,170,-18
"United Air Lines Inc.",6,5,29,26,2139,23
"Southwest Airlines Co.",3,3,8,1,1670,4
"Southwest Airlines Co.",10,4,15,-4,715,-6
"Atlantic Southeast Airlines",10,3,10,5,771,-11
"Southwest Airlines Co.",12,4,7,-2,436,-15
"Atlantic Southeast Airlines",9,1,11,10,677,6
"American Airlines Inc.",3,7,13,-4,334,-20
"Delta Air Lines Inc.",4,1,17,0,731,-22
"Skywest Airlines Inc.",5,6,16,-2,67,-8
"American Airlines Inc.",9,4,8,5,646,-13
"Delta Air Lines Inc.",9,5,15,-3,584,-16
"Southwest Airlines Co.",11,6,23,-2,867,4
"Delta Air Lines Inc.",7,5,14,27,545,18
"Skywest Airlines Inc.",1,1,18,10,308,14
"Skywest Airlines Inc.",9,6,18,-3,315,0
"American Airlines Inc.",10,3,15,-7,861,-22
"Skywest Airlines Inc.",11,3,19,1,601,10
"American Airlines Inc.",2,2,19,3,612,10
"Skywest Airlines Inc.",2,2,12,-3,109,-8
"Atlantic Southeast Airlines",6,3,17,58,482,43
"JetBlue Airways",1,4,16,-8,1197,-10
"Southwest Airlines Co.",4,7,9,13,646,5
"Southwest Airlines Co.",9,5,11,9,862,-5
"United Air Lines Inc.",1,1,25,10,1400,-13
"Spirit Air Lines",7,2,11,74,406,65
"Hawaiian Airlines Inc.",8,1,15,0,163,11
"American Airlines Inc.",9,1,8,-7,204,-20
"Delta Air Lines Inc.",11,1,24,-4,689,1
"Atlantic Southeast Airlines",6,1,10,-7,179,-21
"Atlantic Southeast Airlines",11,4,12,-2,376,-10
"US Airways Inc.",3,1,9,-4,808,1
"Alaska Airlines Inc.",12,2,35,270,1024,286
"US Airways Inc.",1,7,12,-3,468,-9
"United Air Lines Inc.",12,2,43,89,723,96
"Southwest Airlines Co.",10,5,9,20,957,6
"Delta Air Lines Inc.",1,5,20,-10,1547,2
"American Eagle Airlines Inc.",1,7,11,1,396,-2
"Southwest Airlines Co.",4,5,18,-2,925,-10
"Southwest Airlines Co.",12,5,10,-8,1024,-29
"Skywest Airlines Inc.",8,2,47,-8,118,20
"Delta Air Lines Inc.",5,4,13,-6,366,-4
"JetBlue Airways",4,4,19,11,1197,17
"Southwest Airlines Co.",6,5,9,-5,401,-1
"Atlantic Southeast Airlines",5,1,18,10,427,26
"Atlantic Southeast Airlines",10,1,18,-4,227,-7
"Frontier Airlines Inc.",12,6,23,0,861,0
"Southwest Airlines Co.",3,4,7,-3,446,-17
"United Air Lines Inc.",11,7,12,32,337,12
"Southwest Airlines Co.",3,1,23,0,762,1
"Delta Air Lines Inc.",3,4,25,0,1587,-26
"JetBlue Airways",12,4,12,29,1068,10
"American Eagle Airlines Inc.",4,1,14,-3,931,12
"United Air Lines Inc.",1,6,7,5,1585,-4
"Southwest Airlines Co.",8,6,9,-1,507,-9
"Southwest Airlines Co.",11,6,11,12,1557,-2
"Virgin America",3,4,14,18,2248,17
"JetBlue Airways",3,6,20,-6,1065,6
"Delta Air Lines Inc.",11,2,11,4,432,-2
"United Air Lines Inc.",1,1,42,-8,191,4
"American Airlines Inc.",4,2,12,-6,731,-5
"Southwest Airlines Co.",9,3,9,13,919,10
"Delta Air Lines Inc.",12,3,19,-2,500,-13
"United Air Lines Inc.",6,2,10,17,811,5
"United Air Lines Inc.",5,5,9,32,334,23
"American Airlines Inc.",2,6,17,-12,2486,-1
"Delta Air Lines Inc.",5,1,17,-2,743,-11
"Southwest Airlines Co.",7,3,13,-2,1235,-14
"Southwest Airlines Co.",12,2,13,-5,541,-13
"United Air Lines Inc.",9,6,13,-4,967,-18
"United Air Lines Inc.",12,4,12,-2,1065,-22
"Southwest Airlines Co.",11,1,9,17,1558,8
"Delta Air Lines Inc.",5,1,11,8,1547,11
"United Air Lines Inc.",12,7,12,-4,733,-17
"American Airlines Inc.",6,4,20,13,1744,9
"United Air Lines Inc.",9,5,25,0,1605,25
"American Airlines Inc.",10,6,14,28,1120,25
"United Air Lines Inc.",10,4,20,14,334,12
"United Air Lines Inc.",7,2,35,25,758,45
"American Eagle Airlines Inc.",8,5,13,0,491,-15
"US Airways Inc.",2,5,32,17,2296,25
"Skywest Airlines Inc.",6,3,29,6,584,9
"Southwest Airlines Co.",8,1,8,-5,296,-6
"Delta Air Lines Inc.",11,2,20,-5,270,-7
"Southwest Airlines Co.",9,2,10,-6,337,-6
"American Airlines Inc.",12,5,18,-5,1171,5
"Southwest Airlines Co.",7,6,9,20,239,15
"American Eagle Airlines Inc.",7,2,14,59,738,53
"Skywest Airlines Inc.",6,6,19,35,726,27
"US Airways Inc.",2,7,9,-4,500,-7
"Skywest Airlines Inc.",1,4,13,193,410,193
"Southwest Airlines Co.",9,7,13,-1,1020,-20
"Southwest Airlines Co.",6,4,11,-3,937,-13
"Delta Air Lines Inc.",6,2,18,-2,1919,-30
"Atlantic Southeast Airlines",12,1,11,-3,837,-7
"Southwest Airlines Co.",4,3,13,11,872,6
"Alaska Airlines Inc.",2,7,24,-6,2378,-6
"Alaska Airlines Inc.",7,7,10,34,1542,13
"Skywest Airlines Inc.",3,7,20,85,209,82
"Delta Air Lines Inc.",11,7,18,63,931,53
"Southwest Airlines Co.",11,6,9,-2,373,-5
"Southwest Airlines Co.",9,2,9,0,386,-8
"Delta Air Lines Inc.",1,5,11,-3,748,-21
"Atlantic Southeast Airlines",3,6,18,-2,500,-6
"Atlantic Southeast Airlines",10,5,25,-5,143,12
"Delta Air Lines Inc.",8,1,16,26,2239,41
"Delta Air Lines Inc.",12,2,14,-4,151,11
"Spirit Air Lines",4,2,15,-5,2176,15
"Southwest Airlines Co.",5,6,5,14,1173,-6
"Delta Air Lines Inc.",10,1,12,-6,980,-15
"Delta Air Lines Inc.",8,7,12,-5,666,-10
"American Eagle Airlines Inc.",5,6,7,-5,268,-29
"JetBlue Airways",2,2,12,-5,1074,-20
"United Air Lines Inc.",11,1,15,-1,1222,-19
"American Airlines Inc.",12,1,14,46,1217,28
"American Airlines Inc.",7,4,12,21,449,32
"Spirit Air Lines",11,4,9,21,1021,1
"Skywest Airlines Inc.",9,2,18,33,1197,27
"JetBlue Airways",11,1,15,-1,994,-13
"JetBlue Airways",1,3,20,-6,1598,-9
"Southwest Airlines Co.",12,5,9,9,488,8
"Atlantic Southeast Airlines",8,4,19,-4,599,-12
"JetBlue Airways",10,2,17,-2,759,-2
"Delta Air Lines Inc.",2,6,14,-5,1487,-27
"Spirit Air Lines",7,3,11,-7,1954,-17
"American Airlines Inc.",5,2,20,-4,919,-14
"American Eagle Airlines Inc.",5,6,18,-11,502,-30
"Southwest Airlines Co.",1,7,21,2,663,9
"American Airlines Inc.",9,1,13,-5,190,-16
"Southwest Airlines Co.",2,7,9,-1,370,3
"American Airlines Inc.",2,3,11,-9,551,-18
"United Air Lines Inc.",2,7,8,7,1208,-5
"Atlantic Southeast Airlines",4,4,27,267,102,268
"Delta Air Lines Inc.",7,7,21,-6,366,-9
"Delta Air Lines Inc.",10,1,9,-4,813,-18
"Atlantic Southeast Airlines",1,7,5,-5,302,-10
"Frontier Airlines Inc.",11,3,12,26,1024,2
"JetBlue Airways",5,3,11,-6,1005,-24
"Atlantic Southeast Airlines",4,3,24,-3,395,4
"Spirit Air Lines",9,2,11,-10,1379,-15
"Southwest Airlines Co.",4,4,9,8,551,-7
"American Airlines Inc.",9,3,9,54,190,34
"Delta Air Lines Inc.",7,7,11,-4,448,-6
"Skywest Airlines Inc.",4,4,16,-3,657,-4
"US Airways Inc.",6,1,13,5,1009,-2
"Delta Air Lines Inc.",6,2,15,-4,259,-16
"JetBlue Airways",8,6,8,108,846,96
"American Airlines Inc.",12,4,17,-3,1431,-7
"Delta Air Lines Inc.",4,7,21,21,1089,14
"American Eagle Airlines Inc.",6,2,16,-5,925,-12
"Skywest Airlines Inc.",12,4,31,-3,408,9
"JetBlue Airways",9,7,16,-9,1097,-10
"American Eagle Airlines Inc.",1,2,10,8,299,-3
"JetBlue Airways",12,3,38,12,740,22
"American Airlines Inc.",10,2,13,-7,666,-15
"Southwest Airlines Co.",4,5,8,22,236,17
"Skywest Airlines Inc.",3,6,21,0,110,-3
"American Eagle Airlines Inc.",1,5,15,-7,173,-25
"American Eagle Airlines Inc.",1,7,10,0,716,-24
"United Air Lines Inc.",10,7,20,2,967,0
